stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0273,,"Tomken Rd At Tomken Station",,  43.622424, -79.624089,,,0,,America/Toronto,1
0274,,"Lakeshore Rd W At Whittier Cres",,  43.534324, -79.604709,,,0,,America/Toronto,1
0275,,"Lakeshore Rd W At Lorne Park Rd",,  43.532157, -79.607173,,,0,,America/Toronto,1
0276,,"Lakeshore Rd W At Festavon Crt",,  43.526770, -79.612878,,,0,,America/Toronto,1
0277,,"Lakeshore Rd W At Bexhill Rd",,  43.525634, -79.614178,,,0,,America/Toronto,1
0278,,"Lakeshore Rd W At Silver Birch Trail",,  43.524326, -79.615545,,,0,,America/Toronto,1
0279,,"Lakeshore Rd W At Meadow Wood Rd",,  43.519467, -79.620951,,,0,,America/Toronto,1
0280,,"Lakeshore Rd W At Clarkson Rd N",,  43.517485, -79.623100,,,0,,America/Toronto,1
0281,,"Lakeshore Rd W West Of Clarkson Rd",,  43.515191, -79.625590,,,0,,America/Toronto,1
0282,,"Lakeshore Rd W At Walden Circle",,  43.513850, -79.627129,,,0,,America/Toronto,1
0283,,"Southdown Rd At Hartland Dr",,  43.514679, -79.634658,,,0,,America/Toronto,1
0284,,"Inverhouse Dr At Carrera Crt",,  43.508623, -79.620741,,,0,,America/Toronto,1
0285,,"Inverhouse Dr South Of Bonnymede Dr",,  43.510414, -79.623669,,,0,,America/Toronto,1
0286,,"Southdown Rd South Of Lushes Ave",,  43.508964, -79.627401,,,0,,America/Toronto,1
0287,,"Southdown Rd South Of Royal Windsor Dr",,  43.510256, -79.629240,,,0,,America/Toronto,1
0288,,"Southdown Rd At South Sheridan Way",,  43.522174, -79.644784,,,0,,America/Toronto,1
0289,,"Indian Rd At Cermel Dr",,  43.543327, -79.610505,,,0,,America/Toronto,1
0290,,"Indian Rd At Cermel Dr",,  43.543606, -79.610474,,,0,,America/Toronto,1
0291,,"Lakeshore Rd W At Balboa Dr",,  43.538981, -79.599701,,,0,,America/Toronto,1
0292,,"Lakeshore Rd W At Ibar Way",,  43.536465, -79.602419,,,0,,America/Toronto,1
0294,,"Sorrento Dr At Trudeau Ave",,  43.607963, -79.649134,,,0,,America/Toronto,1
0295,,"Lakeshore Rd W At Ibar Way",,  43.536462, -79.602086,,,0,,America/Toronto,1
0296,,"Lakeshore Rd W At Balboa Dr",,  43.538479, -79.599898,,,0,,America/Toronto,1
0297,,"Clarkson Go Station Platform 6",,  43.513005, -79.633134,,,0,,America/Toronto,1
0298,,"Erin Mills Pky At Mcfarren Blvd",,  43.567683, -79.718372,,,0,,America/Toronto,1
0299,,"Erin Mills Pky At Banfield Rd",,  43.567353, -79.718713,,,0,,America/Toronto,1
0302,,"Elizabeth St At Lakeshore Rd",,  43.553109, -79.584381,,,0,,America/Toronto,1
0303,,"Front St At John St",,  43.550528, -79.588242,,,0,,America/Toronto,1
0304,,"Hurontario St North Of Mineola Rd E",,  43.563205, -79.592627,,,0,,America/Toronto,1
0305,,"Hurontario St South Of Indian Valley Trail",,  43.562724, -79.592254,,,0,,America/Toronto,1
0306,,"Front St At Park St",,  43.550773, -79.589883,,,0,,America/Toronto,1
0307,,"Tranmere Dr At 7875 Tranmere Dr",,  43.680094, -79.672286,,,0,,America/Toronto,1
0308,,"Tranmere Dr West Of Telford Way",,  43.680643, -79.673106,,,0,,America/Toronto,1
0309,,"Dixie Rd South Of Mid-Way Blvd",,  43.666359, -79.662704,,,0,,America/Toronto,1
0310,,"Bloor St W At Green Lanes",,  43.644159, -79.526609,,,0,,America/Toronto,1
0311,,"Elizabeth St At High St",,  43.553753, -79.585505,,,0,,America/Toronto,1
0313,,"Erin Centre Blvd At John Fraser Secondary School",,  43.559753, -79.715407,,,0,,America/Toronto,1
0314,,"Port Credit Go Station Platform 7",,  43.555435, -79.587496,,,0,,America/Toronto,1
0315,,"Atwater Ave At Cawthra Rd",,  43.574893, -79.573059,,,0,,America/Toronto,1
0316,,"Duke Of York Blvd At Square One Dr",,  43.591864, -79.647742,,,0,,America/Toronto,1
0320,,"Winston Churchill Blvd At North Sheridan Way",,  43.513331, -79.668579,,,0,,America/Toronto,1
0322,,"Eglinton Ave E At Albina Way",,  43.610984, -79.648070,,,0,,America/Toronto,1
0323,,"Lakeshore Rd E At St Lawrence Dr",,  43.555040, -79.581798,,,0,,America/Toronto,1
0324,,"Hurontario St At Inglewood Dr",,  43.559421, -79.587304,,,0,,America/Toronto,1
0325,,"Lakeshore Rd E At Stavebank Rd S",,  43.551904, -79.585251,,,0,,America/Toronto,1
0326,,"Lakeshore Rd E East Of Elizabeth St",,  43.553352, -79.583657,,,0,,America/Toronto,1
0327,,"Derry Rd At Torbram Rd",,  43.695034, -79.652487,,,0,,America/Toronto,1
0328,,"Derry Rd At Bramalea Rd",,  43.685479, -79.663123,,,0,,America/Toronto,1
0329,,"Hurontario St At Pinetree Way",,  43.566974, -79.598173,,,0,,America/Toronto,1
0330,,"Hurontario St At Hampshire Cres",,  43.565514, -79.595805,,,0,,America/Toronto,1
0331,,"Hurontario St At Indian Valley Trail",,  43.564501, -79.594726,,,0,,America/Toronto,1
0332,,"Hurontario St At Pinewood Trail",,  43.564470, -79.594405,,,0,,America/Toronto,1
